date,time,symbol,strike,option_type,open,high,low,close,volume,ema5,ema25,vwap,signal_fired
2026-06-30,2026-06-30 11:35:00+05:30,NIFTY30JUN2623800CE,23800,CE,163.8,164.25,138.0,141.2,11585.0,161.21005828552396,147.0945449515801,132.7609875595072,False
2026-06-30,2026-06-30 11:40:00+05:30,NIFTY30JUN2623800CE,23800,CE,163.6,181.6,145.0,148.0,47359.0,156.80670552368264,147.1641953399201,133.44063309938832,
2026-06-30,2026-06-30 11:45:00+05:30,NIFTY30JUN2623800CE,23800,CE,148.5,154.9,144.15,145.3,4371.0,152.97113701578843,147.0207956983878,133.4767324700855,False
2026-06-30,2026-06-30 11:50:00+05:30,NIFTY30JUN2623800CE,23800,CE,147.6,162.5,147.0,161.0,20489.0,156.16964689941454,148.26298301152957,133.93527523404725,
2026-06-30,2026-06-30 11:55:00+05:30,NIFTY30JUN2623800CE,23800,CE,161.45,172.45,150.7,164.25,25988.0,158.86309793294305,149.49275354910424,134.3363621832234,
2026-06-30,2026-06-30 12:00:00+05:30,NIFTY30JUN2623800CE,23800,CE,163.9,167.5,144.0,148.2,24261.0,155.30873195529537,149.39331096840394,134.58114515713947,
2026-06-30,2026-06-30 12:05:00+05:30,NIFTY30JUN2623800CE,23800,CE,148.45,151.2,138.65,143.7,18038.0,151.43915463686358,148.9553639708344,134.67592079331837,
2026-06-30,2026-06-30 12:10:00+05:30,NIFTY30JUN2623800CE,23800,CE,143.45,148.75,132.85,144.25,18598.0,149.04276975790907,148.59341289615483,134.74676615391272,
2026-06-30,2026-06-30 12:15:00+05:30,NIFTY30JUN2623800CE,23800,CE,144.8,150.65,127.45,142.65,26381.0,146.9118465052727,148.1362272887583,134.82175860568606,
2026-06-30,2026-06-30 12:20:00+05:30,NIFTY30JUN2623800CE,23800,CE,142.4,155.0,133.95,153.0,18544.0,148.94123100351516,148.51036365116153,134.94030943221298,
2026-06-30,2026-06-30 12:25:00+05:30,NIFTY30JUN2623800CE,23800,CE,152.85,156.6,140.05,149.95,20665.0,149.27748733567677,148.6211049087645,135.08601404384208,
2026-06-30,2026-06-30 12:30:00+05:30,NIFTY30JUN2623800CE,23800,CE,150.25,150.85,123.6,133.9,30447.0,144.15165822378452,147.48871222347495,135.10166041332704,
2026-06-30,2026-06-30 12:35:00+05:30,NIFTY30JUN2623800CE,23800,CE,133.1,162.0,132.7,160.0,35067.0,149.43443881585637,148.45111897551536,135.38459721240784,
2026-06-30,2026-06-30 12:40:00+05:30,NIFTY30JUN2623800CE,23800,CE,159.95,174.0,151.5,165.45,34803.0,154.77295921057092,149.75872520816802,135.8585733156987,
2026-06-30,2026-06-30 12:45:00+05:30,NIFTY30JUN2623800CE,23800,CE,166.05,170.2,163.0,169.95,3398.0,159.8319728070473,151.3119001921551,135.91064687764415,False
2026-06-30,2026-06-30 12:50:00+05:30,NIFTY30JUN2623800CE,23800,CE,163.85,166.8,145.4,161.85,26069.0,159.04909298247597,151.65743449690058,136.4108129270623,
2026-06-30,2026-06-30 12:55:00+05:30,NIFTY30JUN2623800CE,23800,CE,161.05,173.55,159.0,165.55,22088.0,161.21606198831734,152.7260933817544,136.7161096796891,
2026-06-30,2026-06-30 13:00:00+05:30,NIFTY30JUN2623800CE,23800,CE,165.7,169.0,147.1,158.15,22269.0,160.1940413255449,153.1433169677733,136.93584671361944,
2026-06-30,2026-06-30 13:05:00+05:30,NIFTY30JUN2623800CE,23800,CE,157.95,162.25,144.0,146.7,15912.0,155.69602755036328,152.64767720102154,137.03831706893305,
2026-06-30,2026-06-30 13:10:00+05:30,NIFTY30JUN2623800CE,23800,CE,146.7,149.1,145.0,147.4,1486.0,152.93068503357554,152.2440097240199,137.0452121056638,False
2026-06-30,2026-06-30 13:15:00+05:30,NIFTY30JUN2623800CE,23800,CE,144.95,154.95,140.7,143.25,18680.0,149.14823446682814,151.37464802927283,137.17929426791648,
2026-06-30,2026-06-30 13:20:00+05:30,NIFTY30JUN2623800CE,23800,CE,143.3,144.9,123.3,130.85,24530.0,143.04882297788544,149.79582895009798,137.13375543985805,False
2026-06-30,2026-06-30 13:25:00+05:30,NIFTY30JUN2623800CE,23800,CE,133.45,137.0,130.2,133.4,3172.0,140.51032642970142,148.7511793858893,137.1228164191039,False
2026-06-30,2026-06-30 13:30:00+05:30,NIFTY30JUN2623800CE,23800,CE,148.85,155.5,146.0,148.7,16524.0,146.67355095313428,149.84428393016998,137.34748570342367,
2026-06-30,2026-06-30 13:35:00+05:30,NIFTY30JUN2623800CE,23800,CE,148.0,152.75,142.25,148.0,13218.0,147.11570063542283,149.70241593554152,137.406343268286,
2026-06-30,2026-06-30 13:40:00+05:30,NIFTY30JUN2623800CE,23800,CE,147.8,151.85,145.65,148.6,1632.0,147.61046709028193,149.61761470973065,137.41429094728798,False
2026-06-30,2026-06-30 13:45:00+05:30,NIFTY30JUN2623800CE,23800,CE,156.75,157.85,145.0,150.55,5938.0,150.36808917129906,150.25738399241408,137.6460681837872,False
2026-06-30,2026-06-30 13:50:00+05:30,NIFTY30JUN2623800CE,23800,CE,149.7,150.0,146.25,148.4,903.0,149.5676150030883,150.0683544545361,137.71654843140564,False
2026-06-30,2026-06-30 13:55:00+05:30,NIFTY30JUN2623800CE,23800,CE,144.35,145.5,137.2,141.9,5860.0,146.15618777983664,149.16664671542978,137.82205897734275,False
2026-06-30,2026-06-30 14:00:00+05:30,NIFTY30JUN2623800CE,23800,CE,136.0,138.25,130.1,131.95,4434.0,140.12079185322443,147.4269046603967,137.77291881706913,False
2026-06-30,2026-06-30 14:05:00+05:30,NIFTY30JUN2623800CE,23800,CE,98.7,111.0,91.05,106.15,76812.0,121.44163901326075,141.90146229007033,135.97901773527204,
2026-06-30,2026-06-30 14:10:00+05:30,NIFTY30JUN2623800CE,23800,CE,105.95,106.0,91.0,93.95,50887.0,112.27775934217384,138.21288826775722,135.21842184073523,
2026-06-30,2026-06-30 14:15:00+05:30,NIFTY30JUN2623800CE,23800,CE,93.9,111.1,70.7,84.7,132945.0,103.08517289478256,134.09651224716052,132.9693874638316,
2026-06-30,2026-06-30 14:20:00+05:30,NIFTY30JUN2623800CE,23800,CE,84.55,167.05,78.0,167.0,146559.0,124.3901152631884,136.62754976660972,133.19165629787705,
2026-06-30,2026-06-30 14:25:00+05:30,NIFTY30JUN2623800CE,23800,CE,166.45,194.35,163.15,183.2,41296.0,143.99341017545893,140.21004593840897,133.85472260298755,False
2026-06-30,2026-06-30 09:15:00+05:30,NIFTY30JUN2623800PE,23800,PE,8.0,17.5,6.05,16.0,396964.0,20.471091237142662,25.727913616113177,13.183333333333332,
2026-06-30,2026-06-30 09:20:00+05:30,NIFTY30JUN2623800PE,23800,PE,15.95,29.9,14.8,26.1,350494.0,22.34739415809512,25.756535645642938,18.067860847476823,
2026-06-30,2026-06-30 09:25:00+05:30,NIFTY30JUN2623800PE,23800,PE,26.0,29.45,24.3,27.5,239610.0,24.06492943873008,25.890648288285792,20.25635987929234,
2026-06-30,2026-06-30 09:30:00+05:30,NIFTY30JUN2623800PE,23800,PE,27.4,39.4,26.4,36.45,396570.0,28.19328629248672,26.70290611226381,24.21936383167659,
